Model,Mean Return,VaR (95%),CVaR (95%),Q1 (25th percentile),Median (50th percentile),Q3 (75th percentile),Max Return,Min Return
Constant_20,-0.006678024391367217,-0.03763174954801798,-0.06596199087798596,-0.00694009882863611,-0.0025412198156118393,0.0013644751743413508,0.007900585420429707,-0.16444145143032074
Constant_50,-0.0020261360301265085,-0.012666631117463112,-0.024646524153649808,-0.0019024339271709323,0.0005081947019789368,0.001210871763760224,0.005447182804346085,-0.04187443107366562
Constant_100,-0.0004889034319830899,-0.005835118307732044,-0.011461196793243289,-0.0003478862199699506,0.00028605747502297163,0.0006940257590031251,0.00717043736949563,-0.025576867163181305
RNN_100_0,-0.0007374836688336473,-0.020511111896485086,-0.031153497472405433,-0.00027546527417143807,0.0006922780012246221,0.0022082640207372606,0.035248927772045135,-0.051799483597278595
RNN_50_0,-0.0001738046426690687,-0.0017590338480658828,-0.003130002156831324,-0.0002961891077575274,1.703589032331365e-05,0.0001980910419661086,0.003139577805995941,-0.005377680063247681
RNN_20_0,-3.8309800172697804e-05,-0.00020703976915683594,-0.000414464419009164,-4.232944320392562e-05,-1.0937519618892111e-05,8.710696874913992e-06,0.00011314127914374694,-0.0010637324303388596
LSTM_20_0,-2.322652426975935e-06,-1.2140630633439286e-05,-2.4453041896776993e-05,-2.5195378157150117e-06,-7.031235043086781e-07,4.101559269997779e-07,5.156286533747334e-06,-6.179618503665552e-05
LSTM_20_10,-9.824896189805088e-06,-5.292354380799224e-05,-0.00010607604235701729,-1.1035444686058327e-05,-2.8515429448816576e-06,1.8945095519029564e-06,2.7110299924970604e-05,-0.00027131306705996394
LSTM_20_100,-1.3050993852843363e-05,-7.342526878346689e-05,-0.00014468339577433653,-1.462901673221495e-05,-3.242210595999495e-06,2.5390594373675412e-06,3.836128598777577e-05,-0.000361611251719296
LSTM_50_0,-2.4934612815314948e-05,-0.0003211125993402675,-0.0005196640326175838,-5.801366842206335e-05,4.140630380788934e-06,4.198955593892606e-05,0.0007375773275271058,-0.0008423082181252539
LSTM_50_10,-1.3863463704275602e-05,-0.000154735567048192,-0.0002530521145672537,-3.4259080166521017e-05,3.1250769083612795e-07,1.6893825431907317e-05,0.00031610907171852887,-0.0004412812413647771
LSTM_50_100,-1.861203560920899e-05,-0.00026228649221593514,-0.00047466270043514667,-7.14986181264976e-05,-6.247860397934346e-07,4.3914805246458855e-05,0.0008279146859422326,-0.0007663564174436033
LSTM_100_0,-0.0005756637433587741,-0.026810131594538687,-0.03663947824388743,-1.2908550388601725e-05,4.570183955365792e-05,0.0019684309081640095,0.048973117023706436,-0.06105559319257736
LSTM_100_10,-0.0005885834511838084,-0.02657346138730645,-0.037640541605651376,-3.5546372600947507e-06,1.777353918441804e-05,0.002372491406276822,0.04609743133187294,-0.0612681582570076
LSTM_100_100,-0.0005750369600059457,-0.02667727041989565,-0.036478140763938426,-2.816201458699652e-05,5.624650111712981e-05,0.001955137850018218,0.048588238656520844,-0.060846079140901566
